Artist		Clicks
"Pete Rock & C.L. Smooth" 		2
"Romano Drom" 		1
"Brian Eno & David Byrne" 		6
"Gunmoll" 		2
"Dj Spooky That Subliminal Kid & Dave Lombardo" 		1
"Bobby Hughes Experience" 		1
"Michael Hutchence" 		1
"K-Doe Aka K-Deezy" 		2
"Augie March" 		6
"Architects" 		3
"Evelyn "Champagne" King" 		1
"Demi Lovato" 		9
"Moondog & The London Saxophonic" 		1
"Multiplex" 		1
"Boat" 		2
"Michael Kiske" 		1
"Susumu Yokota & Rothko" 		1
"Rakim Y Ken-Y Ft. David Bisbal" 		1
"Star One" 		2
"Diss Reaction" 		1
"Mansun" 		8
"Fallen From The Sky" 		1
"Chantal Kelly" 		1
"Müzeyyen Senar" 		1
"Oblique Sight Smooth" 		1
"Kevin Aviance" 		2
"Sex Gang Children" 		1
"Grumpy Bear" 		1
"Patty & The Emblems" 		1
"Kidkanevil" 		1
"This Town Needs Guns" 		1
"????" 		4
"James Carr" 		1
"Mezarkabul" 		1
"Pamela Morgan" 		1
"Extrawelt" 		1
"Jan Johansson" 		4
"?????????" 		1
"Senseless Things" 		1
"Chimène Badi" 		1
"Clair De Lune" 		1
"Skik" 		1
"The Alarm" 		1
"Nathan" 		1
"Valet" 		1
"Antônio Carlos Jobim" 		9
"Blue Gum Ears" 		1
"Sophe Lux" 		2
"Asian Dub Foundation" 		19
"Kate York" 		1
"Bim Sherman" 		2
"Kinobe" 		5
"Kaz?m Koyuncu" 		1
"Mohannett" 		1
"Stephen Trask" 		1
"Afro Kolektyw" 		4
"Buzzcocks" 		35
"Bebe" 		3
"War Against Sleep" 		1
"Dorval" 		1
"Estopa" 		5
"White Lies" 		12
"Fairport Convention" 		1
"Ulver" 		30
"Dirty Dancing" 		3
"Accessory" 		1
"Maceo Parker" 		1
"Spooky Kids" 		1
"Diana Fox" 		3
"Toumani Diabaté & Ballake Sissoko" 		1
"Blair" 		1
"Ernesto Cortazar" 		3
"Leaf" 		2
"092  Eai?U Na?Ooaiia" 		1
"Atlantis Vs. Avatar" 		1
"Kenny G" 		1
"Disarmonia Mundi" 		2
"Negramaro" 		1
"Pokemon 08 - Lucario And The Mystery Of Mew" 		1
"Kelly Price" 		1
"Jojo" 		8
"Luz Diving" 		2
"The Swinging Blue Jeans" 		1
"L.P." 		1
"Mike Myers" 		1
"No Kids" 		1
"To/Die/For" 		13
"Anaal Nathrakh" 		2
"By Divine Right" 		1
"Amoral" 		2
"Dappled Cities Fly" 		1
"The Soft Pink Truth" 		1
"May'N" 		3
"Mc Bushpig" 		1
"Sonny Rollins" 		5
"Budapest" 		3
"Poets Of The Fall" 		23
"Mekon" 		1
"Biz Markie" 		1
"Fabienne Thibeault" 		3
"The Wedding Present" 		13
"Antidote" 		2
"New Years Day" 		1
"Freddie King" 		2
"Supafly Inc." 		1
"Dapunksportif" 		12
"Pokemon 03 - Spell Of The Unown" 		1
"David Byrne" 		7
"Ryan Sims" 		1
"The White Stripes" 		183
"Catharsis" 		2
"Mayumi" 		1
"Avey Tare And Panda Bear" 		1
